Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Experience,Previous_Best,Previous_Average
Atlanta,1996,100.0,Backstroke,0,Men,FRA,Franck Schott,55.76,4,1.0,55.72,55.72
City,1968,100.0,Backstroke,0,Men,ITA,Franco Del Campo,62.0,4,0.0,,
City,1968,200.0,Backstroke,0,Men,ITA,Franco Del Campo,136.5,4,0.0,,
Seoul,1988,100.0,Backstroke,0,Men,GDR,Frank Baltrusch,56.1,4,0.0,,
Seoul,1988,200.0,Backstroke,0,Men,GDR,Frank Baltrusch,119.6,2,0.0,,
Antwerp,1920,400.0,Freestyle,0,Men,AUS,Frank De Beaurepaire,,0,0.0,,
Antwerp,1920,1500.0,Freestyle,0,Men,AUS,Frank De Beaurepaire,1384.0,3,0.0,,
Paris,1924,1500.0,Freestyle,0,Men,AUS,Frank De Beaurepaire,1308.4,3,1.0,1384.0,1384.0
Angeles,1984,200.0,Freestyle,0,Men,NED,Frank Drost,111.62,4,0.0,,
Melbourne,1956,100.0,Backstroke,0,Men,USA,Frank Edward Jr. Mckinney,64.5,3,0.0,,
Rome,1960,100.0,Backstroke,0,Men,USA,Frank Edward Jr. Mckinney,62.1,2,1.0,64.5,64.5
Seoul,1988,50.0,Freestyle,0,Men,FRG,Frank Henter,23.03,4,0.0,,
Seoul,1988,100.0,Backstroke,0,Men,FRG,Frank Hoffmeister,56.19,4,0.0,,
Tokyo,1964,400.0,Freestyle,0,Men,GER,Frank Wiegand,254.9,2,0.0,,
Barcelona,1992,100.0,Butterfly,0,Women,GER,Franziska Van Almsick,60.7,1,0.0,,
Barcelona,1992,100.0,Freestyle,0,Women,GER,Franziska Van Almsick,54.94,3,0.0,,
Atlanta,1996,100.0,Freestyle,0,Women,GER,Franziska Van Almsick,55.59,4,1.0,54.94,54.94
Barcelona,1992,200.0,Freestyle,0,Women,GER,Franziska Van Almsick,118.0,2,0.0,,
Atlanta,1996,200.0,Freestyle,0,Women,GER,Franziska Van Almsick,118.57,2,1.0,118.0,118.0
Athens,2004,200.0,Freestyle,0,Women,GER,Franziska Van Almsick,118.88,4,2.0,118.0,118.285
Moscow,1980,100.0,Backstroke,0,Men,NED,Fred Eefting,57.95,4,0.0,,
Moscow,1980,200.0,Backstroke,0,Men,NED,Fred Eefting,123.92,4,0.0,,
Antwerp,1920,400.0,Freestyle,0,Men,USA,Fred Kahele,,5,0.0,,
Antwerp,1920,1500.0,Freestyle,0,Men,USA,Fred Kahele,1439.1,4,0.0,,
Amsterdam,1928,400.0,Freestyle,0,Women,RSA,Freddie Van Der Goes,367.2,4,0.0,,
Angeles,1984,200.0,Backstroke,0,Men,FRA,Frederic Delcourt,121.75,2,0.0,,
Munich,1972,200.0,Freestyle,0,Men,USA,Frederick Daniel Tyler,114.96,4,0.0,,
Tokyo,1964,200.0,Butterfly,0,Men,USA,Frederick Weber Schmidt,129.3,3,0.0,,
Atlanta,1996,100.0,Breaststroke,0,Men,BEL,Frederik Deburghgraeve,60.65,1,0.0,,
