Gender,Event,Location,Year,Medal,Name,Nationality,NOC,Result
M,110 metres Hurdles,Paris,1900,None,William Remington,USA,USA,
M,1500 metres,Paris,1900,G,Charles BENNETT,GBR,GBR,4:06.2
M,1500 metres,Paris,1900,S,Henri DELOGE,FRA,FRA,4:06.6
M,1500 metres,Paris,1900,B,John BRAY,USA,USA,4:07.2
M,1500 metres,Paris,1900,None,Hermann Wraschtil,AUT,AUT,
M,1500 metres,Paris,1900,None,Ondřej Pukl,BOH,BOH,
M,1500 metres,Paris,1900,None,George Orton,USA,USA,
M,1500 metres,Paris,1900,None,George Orton,USA,USA,
M,1500 metres,Paris,1900,None,Christian Christensen,DEN,DEN,
M,1500 metres,Paris,1900,None,Christian Christensen,DEN,DEN,
M,1500 metres,Paris,1900,None,Louis Segondi,FRA,FRA,
M,1500 metres,Paris,1900,None,Louis Segondi,FRA,FRA,
M,1500 metres,Paris,1900,None,Jack Rimmer,GBR,GBR,
M,1500 metres,Paris,1900,None,Franz Duhne,GER,GER,
M,1500 metres,Paris,1900,None,Johannes Runge,GER,GER,
M,1500 metres,Paris,1900,None,Emilio Banfi,ITA,ITA,
M,1500 metres,Paris,1900,None,Wilbur Burroughs,USA,USA,
M,1500 metres,Paris,1900,None,John Cregan,USA,USA,
M,1500 metres,Paris,1900,None,Alex Grant,USA,USA,
M,1500 metres,Paris,1900,None,Dave Hall,USA,USA,
M,1500 metres,Paris,1900,None,Dave Hall,USA,USA,
M,1500 metres,Paris,1900,None,Edward Mechling,USA,USA,
M,1500 metres,Paris,1900,None,Arthur Newton,USA,USA,
M,1500 metres,Paris,1900,None,Harrison Smith,USA,USA,
M,200 metres,Paris,1900,G,Walter TEWKSBURY,USA,USA,22.2
M,200 metres,Paris,1900,S,Norman PRITCHARD,IND,IND,22.8
M,200 metres,Paris,1900,B,Stanley ROWLEY,AUS,AUS,22.9
M,200 metres,Paris,1900,None,Adolphe Klingelhoefer,FRA,FRA,
M,200 metres,Paris,1900,None,Albert Werkmüller,GER,GER,
M,200 metres,Paris,1900,None,Ernő Schubert,HUN,HUN,
M,200 metres,Paris,1900,None,Yngvar Bryn,NOR,NOR,
M,200 metres,Paris,1900,None,Bill Holland,USA,USA,
M,200 metres Hurdles,Paris,1900,None,George Orton,USA,USA,
M,200 metres Hurdles,Paris,1900,None,Eugène Choisel,FRA,FRA,
M,200 metres Hurdles,Paris,1900,None,Henri Tauzin,FRA,FRA,
M,200 metres Hurdles,Paris,1900,None,Gustav Adolf Rau,GER,GER,
M,200 metres Hurdles,Paris,1900,None,Zoltán Speidl,HUN,HUN,
M,200 metres Hurdles,Paris,1900,None,Umberto Colombo,ITA,ITA,
M,200 metres Hurdles,Paris,1900,None,Alex Grant,USA,USA,
M,200 metres Hurdles,Paris,1900,None,William Lewis,USA,USA,
M,200 metres Hurdles,Paris,1900,None,Thaddeus McClain,USA,USA,
M,200 metres Hurdles,Paris,1900,None,Fred Moloney,USA,USA,
M,200 metres Hurdles,Paris,1900,None,Arthur Newton,USA,USA,
M,200 metres Hurdles,Paris,1900,None,William Remington,USA,USA,
M,2500 metres Steeplechase,Paris,1900,None,Hermann Wraschtil,AUT,AUT,
M,2500 metres Steeplechase,Paris,1900,None,Hermann Wraschtil,AUT,AUT,
M,2500 metres Steeplechase,Paris,1900,None,Albert Champoudry,FRA,FRA,
M,2500 metres Steeplechase,Paris,1900,None,Gaston Ragueneau,FRA,FRA,
M,2500 metres Steeplechase,Paris,1900,None,Charles Bennett,GBR,GBR,
M,2500 metres Steeplechase,Paris,1900,None,Jack Rimmer,GBR,GBR,
M,2500 metres Steeplechase,Paris,1900,None,Sidney Robinson,GBR,GBR,
M,2500 metres Steeplechase,Paris,1900,None,Franz Duhne,GER,GER,
M,2500 metres Steeplechase,Paris,1900,None,Franz Duhne,GER,GER,
M,2500 metres Steeplechase,Paris,1900,None,John Bray,USA,USA,
M,2500 metres Steeplechase,Paris,1900,None,Wilbur Burroughs,USA,USA,
M,2500 metres Steeplechase,Paris,1900,None,Edward Bushnell,USA,USA,
M,2500 metres Steeplechase,Paris,1900,None,Alex Grant,USA,USA,
M,2500 metres Steeplechase,Paris,1900,None,Alex Grant,USA,USA,
M,2500 metres Steeplechase,Paris,1900,None,Arthur Newton,USA,USA,
M,3000 metres Steeplechase,Paris,1900,G,George ORTON,CAN,CAN,7:34.4
M,3000 metres Steeplechase,Paris,1900,S,Sidney ROBINSON,GBR,GBR,7:38.0
M,3000 metres Steeplechase,Paris,1900,B,Jean CHASTANIE,FRA,FRA,
M,400 metres,Paris,1900,G,Maxwell Warburn LONG,USA,USA,49.4
M,400 metres,Paris,1900,S,William HOLLAND,USA,USA,49.6
M,400 metres,Paris,1900,B,Ernst SCHULTZ,DEN,DEN,
M,400 metres,Paris,1900,None,Stan Rowley,AUS,AUS,
M,400 metres,Paris,1900,None,Karel Nedvěd,BOH,BOH,
M,400 metres,Paris,1900,None,Johannes Gandil,DEN,DEN,
M,400 metres,Paris,1900,None,Georges Clément,FRA,FRA,
M,400 metres,Paris,1900,None,Georges Clément,FRA,FRA,
M,400 metres,Paris,1900,None,Charles-Robert Faidide,FRA,FRA,
M,400 metres,Paris,1900,None,Charles-Robert Faidide,FRA,FRA,
M,400 metres,Paris,1900,None,Maurice Salomez,FRA,FRA,
M,400 metres,Paris,1900,None,Louis Segondi,FRA,FRA,
M,400 metres,Paris,1900,None,Albert Werkmüller,GER,GER,
M,400 metres,Paris,1900,None,Albert Werkmüller,GER,GER,
M,400 metres,Paris,1900,None,Pál Koppán,HUN,HUN,
M,400 metres,Paris,1900,None,Pál Koppán,HUN,HUN,
M,400 metres,Paris,1900,None,Zoltán Speidl,HUN,HUN,
M,400 metres,Paris,1900,None,Norman Pritchard,IND,IND,
M,400 metres,Paris,1900,None,Umberto Colombo,ITA,ITA,
M,400 metres,Paris,1900,None,Yngvar Bryn,NOR,NOR,
M,400 metres,Paris,1900,None,Dixon Boardman,USA,USA,
M,400 metres,Paris,1900,None,Walter Drumheller,USA,USA,
M,400 metres,Paris,1900,None,Dave Hall,USA,USA,
M,400 metres,Paris,1900,None,Frank Jarvis,USA,USA,
M,400 metres,Paris,1900,None,Harry Lee,USA,USA,
M,400 metres,Paris,1900,None,Harvey Lord,USA,USA,
M,400 metres,Paris,1900,None,William Moloney,USA,USA,
M,400 metres,Paris,1900,None,Henry Slack,USA,USA,
M,400 metres,Paris,1900,None,Harrison Smith,USA,USA,
M,400 metres,Paris,1900,None,Walter Tewksbury,USA,USA,
M,400 metres,Paris,1900,None,Cornelius von Lubowiecki,AUT,AUT,
M,400 metres Hurdles,Paris,1900,G,Walter TEWKSBURY,USA,USA,57.6
M,400 metres Hurdles,Paris,1900,S,Henri TAUZIN,FRA,FRA,58.3
M,400 metres Hurdles,Paris,1900,B,George ORTON,CAN,CAN,
M,400 metres Hurdles,Paris,1900,None,Karel Nedvěd,BOH,BOH,
M,400 metres Hurdles,Paris,1900,None,Henri Tauzin,FRA,FRA,
M,400 metres Hurdles,Paris,1900,None,Gustav Adolf Rau,GER,GER,
M,400 metres Hurdles,Paris,1900,None,Zoltán Speidl,HUN,HUN,
M,400 metres Hurdles,Paris,1900,None,Norman Pritchard,IND,IND,
M,400 metres Hurdles,Paris,1900,None,Norman Pritchard,IND,IND,
M,400 metres Hurdles,Paris,1900,None,Al Kraenzlein,USA,USA,
M,400 metres Hurdles,Paris,1900,None,William Lewis,USA,USA,
M,400 metres Hurdles,Paris,1900,None,William Lewis,USA,USA,
M,400 metres Hurdles,Paris,1900,None,Fred Moloney,USA,USA,
M,400 metres Hurdles,Paris,1900,None,Walter Tewksbury,USA,USA,
M,4000 metres Steeplechase,Paris,1900,None,George Orton,USA,USA,
M,4000 metres Steeplechase,Paris,1900,None,Jean Chastanié,FRA,FRA,
M,4000 metres Steeplechase,Paris,1900,None,Franz Duhne,GER,GER,
M,4000 metres Steeplechase,Paris,1900,None,Alex Grant,USA,USA,
M,4000 metres Steeplechase,Paris,1900,None,Thaddeus McClain,USA,USA,
M,60 metres,Paris,1900,None,Adolphe Klingelhoefer,FRA,FRA,
M,60 metres,Paris,1900,None,Pál Koppán,HUN,HUN,
M,60 metres,Paris,1900,None,Ernő Schubert,HUN,HUN,
M,60 metres,Paris,1900,None,Norman Pritchard,IND,IND,
M,60 metres,Paris,1900,None,Isaac Westergren,SWE,SWE,
M,60 metres,Paris,1900,None,Bill Holland,USA,USA,
M,60 metres,Paris,1900,None,Edmund Minahan,USA,USA,
M,800 metres,Paris,1900,G,Alfred TYSOE,GBR,GBR,2:01.2
M,800 metres,Paris,1900,S,John CREGAN,USA,USA,2:01.6
M,800 metres,Paris,1900,B,David HALL,USA,USA,
M,800 metres,Paris,1900,None,Ondřej Pukl,BOH,BOH,
M,800 metres,Paris,1900,None,Christian Christensen,DEN,DEN,
M,800 metres,Paris,1900,None,Christian Christensen,DEN,DEN,
M,800 metres,Paris,1900,None,Henry Deloge,FRA,FRA,
M,800 metres,Paris,1900,None,Maurice Salomez,FRA,FRA,
M,800 metres,Paris,1900,None,Maurice Salomez,FRA,FRA,
M,800 metres,Paris,1900,None,Charles Bennett,GBR,GBR,
M,800 metres,Paris,1900,None,Johannes Runge,GER,GER,
M,800 metres,Paris,1900,None,Zoltán Speidl,HUN,HUN,
M,800 metres,Paris,1900,None,Emilio Banfi,ITA,ITA,
M,800 metres,Paris,1900,None,John Bray,USA,USA,
M,800 metres,Paris,1900,None,Edward Bushnell,USA,USA,
M,800 metres,Paris,1900,None,Edward Bushnell,USA,USA,
M,800 metres,Paris,1900,None,John Cregan,USA,USA,
M,800 metres,Paris,1900,None,Walter Drumheller,USA,USA,
M,800 metres,Paris,1900,None,Walter Drumheller,USA,USA,
M,800 metres,Paris,1900,None,Alex Grant,USA,USA,
M,800 metres,Paris,1900,None,Dave Hall,USA,USA,
M,800 metres,Paris,1900,None,Howard Hayes,USA,USA,
M,800 metres,Paris,1900,None,Howard Hayes,USA,USA,
M,800 metres,Paris,1900,None,Harvey Lord,USA,USA,
M,800 metres,Paris,1900,None,Harvey Lord,USA,USA,
M,800 metres,Paris,1900,None,Edward Mechling,USA,USA,
M,800 metres,Paris,1900,None,Edward Mechling,USA,USA,
M,800 metres,Paris,1900,None,William Moloney,USA,USA,
M,800 metres,Paris,1900,None,Justus Scrafford,USA,USA,
M,800 metres,Paris,1900,None,Harrison Smith,USA,USA,
M,800 metres,Paris,1900,None,Cornelius von Lubowiecki,AUT,AUT,
M,Discus Throw,Paris,1900,None,Sotirios Versis,GRE,GRE,
M,Discus Throw,Paris,1900,None,Charles Winckler,DEN,DEN,
M,Discus Throw,Paris,1900,None,Émile Gontier,FRA,FRA,
M,Discus Throw,Paris,1900,None,Launceston Elliot,GBR,GBR,
M,Discus Throw,Paris,1900,None,Panagiotis Paraskevopoulos,GRE,GRE,
M,Discus Throw,Paris,1900,None,Artúr Coray,HUN,HUN,
M,Discus Throw,Paris,1900,None,Rezső Crettier,HUN,HUN,
M,Discus Throw,Paris,1900,None,Gyula Strausz,HUN,HUN,
M,Discus Throw,Paris,1900,None,Gyula Strausz,HUN,HUN,
M,Discus Throw,Paris,1900,None,Eric Lemming,SWE,SWE,
